kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;type_gasinstallatie;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging;prijs_per_cilinder
00GBR2;Personenauto;BMW;3ER REIHE;20230526;20100520;sedan;ZWART;Niet geregistreerd;4;1325;1425;20080526;20080526;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.06;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-05-26T00:00:00.000;2010-05-20T00:00:00.000;2008-05-26T00:00:00.000;2008-05-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1870;0;3045;7200;5;1599;1870;695;1100;35452.0;390L;e1*2001/116*0308*08;VF31;AA;0;A;;;;;;;8863.0
00GDB4;Personenauto;BMW;1ER REIHE;20221125;20211119;hatchback;GRIJS;Niet geregistreerd;4;1240;1340;20080602;20080602;Geen verstrekking in Open Data;Ja;2;4;M1;r. schroefveerkoker onder motorkap;;0.08;266;Nee;Nee;Nee;2022;Logisch;00;Ja;2022-11-25T00:00:00.000;2021-11-19T00:00:00.000;2008-06-02T00:00:00.000;2008-06-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;424;0;1765;0;3040;6399;4;1995;1765;670;1200;30427.0;187;e1*2001/116*0287*13;UB91;AI;0;B;;;;;;;7606.75
00GDT8;Personenauto;BMW;5ER REIHE;20230613;20190729;stationwagen;GRIJS;Niet geregistreerd;4;1575;1675;20080603;20080603;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.07;289;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-06-13T00:00:00.000;2019-07-29T00:00:00.000;2008-06-03T00:00:00.000;2008-06-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;484;0;2200;0;4060;13784;5;1995;2200;750;1800;58168.0;560L;e1*2001/116*0230*12;PX31;AC;0;A;;;;;;;14542.0
00GFB1;Personenauto;BMW;1ER REIHE;20230606;20080606;cabriolet;GRIJS;Niet geregistreerd;4;1435;1535;20080606;20080606;Geen verstrekking in Open Data;Ja;2;4;M1;op r. schroefveerkoker onder motorkap;;0.08;266;Nee;Nee;Nee;2022;Onlogisch;04;Ja;2023-06-06T00:00:00.000;2008-06-06T00:00:00.000;2008-06-06T00:00:00.000;2008-06-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;436;0;1900;0;3175;13447;4;1995;1900;750;1200;55333.0;182;e1*2001/116*0352*03;UM51;AB;0;C;;;;;;;13833.25
00GFZ3;Personenauto;BMW;1ER REIHE;20230629;20220820;stationwagen;BLAUW;Niet geregistreerd;4;1320;1420;20080613;20080613;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.07;266;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-06-29T00:00:00.000;2022-08-20T00:00:00.000;2008-06-13T00:00:00.000;2008-06-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;424;0;1855;0;3130;9373;5;1995;1855;690;1200;37411.0;187;e1*2001/116*0287*12;UD71;AB;0;C;;;;;;;9352.75
00GHD3;Personenauto;BMW;3ER REIHE;20230406;20220405;sedan;ZWART;Niet geregistreerd;4;1325;1425;20080626;20080626;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.06;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-04-06T00:00:00.000;2022-04-05T00:00:00.000;2008-06-26T00:00:00.000;2008-06-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1870;0;3045;6494;5;1599;1870;695;1100;32760.0;390L;e1*2001/116*0308*08;VF31;AA;0;A;;;;;;;8190.0
00GHK7;Personenauto;BMW;3ER REIHE;20230713;20180210;coupe;ZWART;Niet geregistreerd;4;1335;1435;20080627;20080627;Geen verstrekking in Open Data;Ja;2;4;M1;op r. schroefveerkoker onder motorkap;;0.09;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-07-13T00:00:00.000;2018-02-10T00:00:00.000;2008-06-27T00:00:00.000;2008-06-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;458;0;1810;0;3285;10256;4;1995;1810;695;1400;45136.0;392C;e1*2001/116*0346*07;WA71;AA;0;B;;;;;;;11284.0
00GHP7;Personenauto;BMW;1ER REIHE;20230405;20200619;hatchback;BRUIN;Niet geregistreerd;4;1250;1350;20080626;20080626;Geen verstrekking in Open Data;Ja;4;4;M1;r. schroefveerkoker onder motorkap;;0.08;266;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-04-05T00:00:00.000;2020-06-19T00:00:00.000;2008-06-26T00:00:00.000;2008-06-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;424;0;1775;0;3050;6362;5;1995;1775;670;1200;30288.0;187;e1*2001/116*0287*13;UE51;AJ;0;B;;;;;;;7572.0
00GHX2;Personenauto;BMW;5ER REIHE;20230419;20220728;sedan;GRIJS;Niet geregistreerd;6;1635;1735;20080626;20080626;Geen verstrekking in Open Data;Ja;4;4;M1;op r. schroefveerkoker onder motorkap;;0.12;289;Ja;Nee;Nee;2022;Logisch;00;Nee;2023-04-19T00:00:00.000;2022-07-28T00:00:00.000;2008-06-26T00:00:00.000;2008-06-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;484;0;2220;0;4280;22891;5;2993;2220;750;2000;88957.0;560L;e1*2001/116*0230*12;NX91;AB;0;C;;;;;;;14826.166666666666
00GJF6;Personenauto;BMW;X REIHE;20221220;20211125;stationwagen;ZWART;Niet geregistreerd;4;1725;1825;20080627;20080627;Geen verstrekking in Open Data;Ja;4;4;M1;by r. schroefveerkoker onder motorkap;;0.07;280;Nee;Nee;Nee;2021;Logisch;00;Ja;2022-12-20T00:00:00.000;2021-11-25T00:00:00.000;2008-06-27T00:00:00.000;2008-06-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;457;0;2265;0;4340;14909;5;1995;2265;720;2000;57396.0;X83;e1*2001/116*0249*10;PE11;AL;0;D;0.00;;;;;;14349.0
